pozo;formación;x;y;z;asd
T-1;FILISOLA;476051.01;1979266.25;0;0
T-1;MIOCENO;476051.01;1979266.25;-2778;2812
T-1;OLIGOCENO;476053.11;1979267.97;-3062;3096
T-1;EOCENO;476025.58;1979280.97;-3473;3510
T-1;PALEOCENO;475397.75;1979471.85;-4853;5040.94
T-1;KS;475347.16;1979494.84;-4995;5194
T-1;KSSF;475265.05;1979548.84;-5270;5486.01
T-1;KSANVA;475217.87;1979566.95;-5393;5619.24
T-1;KM;475158.23;1979579.64;-5506;5748.13
T-1001;FILISOLA;476048.4;1979191.82;0;0
T-1001;MIOCENO;476048.4;1979191.82;-2780;2815
T-1001;OLIGOCENO;476048.25;1979178.36;-3039;3075
T-1001;EOCENO;476049.89;1979174.71;-3519;3555
T-1001;PALEOCENO;475539.5;1979128.7;-4859;5014.88
T-1001;KS;475481.23;1979122.37;-4996;5164
T-1001;KSSF;475392.63;1979117.46;-5268;5449.73
T-1001;KSANVA;475360.04;1979117.66;-5381;5567.56
T-1001;KM;475304.13;1979123.5;-5509;5707.89
T-1001;KI;475237.87;1979129.73;-5613;5831
T-1001;PT;475080.36;1979142.71;-5810;6083.88
T-12ST;FILISOLA;474910.03;1980207.19;0;0
T-12ST;MIOCENO;474910.03;1980207.19;-2847;2880
T-12ST;OLIGOCENO;474908.03;1980207.92;-3522;3555
T-12ST;EOCENO;474905.67;1980207.42;-3837;3870
T-12ST;PALEOCENO;474732.36;1979658.68;-4884;5117.12
T-12ST;KS;474651.81;1979415.44;-5069;5432.95
T-12ST;KSSF;474523.36;1979054.63;-5350;5908.26
T-12ST;KSANVA;474491.54;1978929.41;-5451;6073.06
T-12ST;KM;474471.83;1978803.01;-5531;6223.95
T-12ST;PT;474466.14;1978747.63;-5567;6290.12
T-13 St;FILISOLA;476036.92;1979273.2;0;0
T-13 St;MIOCENO;476036.92;1979273.2;-2783;2816
T-13 St;OLIGOCENO;476036.77;1979276.45;-3041;3074.2
T-13 St;EOCENO;476030.71;1979320.03;-3519;3555
T-13 St;PALEOCENO;475773.87;1979520.86;-4867;4952.4
T-13 St;KS;475757.7;1979520.21;-4998;5085
T-13 St;KSSF;475728.73;1979524.86;-5297;5385
T-13 St;KSANVA;475718.03;1979531.75;-5418;5506.94
T-13 St;KM;475705.52;1979542.78;-5580;5669.13
T-13 St;PT;475699.44;1979548.27;-5650;5740
T-14 St;FILISOLA;471889.9;1979689.45;0;0
T-14 St;MIOCENO;471889.9;1979689.45;-2722;2754
T-14 St;OLIGOCENO;471906.11;1979694.35;-3877;3910
T-14 St;EOCENO;471939.45;1979737.48;-4150;4190
T-14 St;PALEOCENO;472746.46;1979962.27;-5297;5618
T-14 St;KS;472798.36;1979980.53;-5371;5710
T-14 St;KSANVA;472865.25;1980003.81;-5474;5835
T-14 St;KM;472909.76;1980019.48;-5556;5930
T-15;FILISOLA;476151.1;1979272.12;0;0
T-15;MIOCENO;476151.1;1979272.12;-2728;2763
T-15;OLIGOCENO;476142.22;1979307;-3479;3515
T-15;EOCENO;476145.67;1979293.65;-3314;3349.05
T-15;PALEOCENO;475667.69;1978336.13;-4824;5224.74
T-15;KS;475579.95;1978219.2;-4981;5439.5
T-15;KSSF;475430.11;1978009.4;-5255;5816.71
T-15;KSANVA;475385.31;1977934.98;-5358;5952.12
T-15;KM;475312.2;1977825.6;-5451;6114.27
T-7;FILISOLA;476044.76;1979227.72;0;0
T-7;MIOCENO;476044.76;1979227.72;-2654;2689
T-7;OLIGOCENO;475989.5;1979200.14;-2831;2877
T-7;EOCENO;475580.59;1978997.19;-3471;3664.88
T-7;PALEOCENO;474808.37;1978487.49;-4889;5361.79
T-7;KS;474766.6;1978459.45;-5045;5526
T-7;KSSF;474726.46;1978435.26;-5293;5778.73
T-7;KSANVA;474715.76;1978425.29;-5395;5881.72
T-7;KM;474708.13;1978411.48;-5476;5965
T-7;PT;474697.22;1978390.41;-5589;6080.12
T-9;FILISOLA;476208.93;1979125.18;0;0
T-9;MIOCENO;476208.93;1979125.18;-2650;2686.25
T-9;OLIGOCENO;476210.14;1979120.46;-2871;2907.73
T-9;EOCENO;476195.93;1979103.77;-3402;3440
T-9;PALEOCENO;475581.42;1978483.65;-4832;5126.28
T-9;KS;475500.88;1978409.12;-4988;5317
T-9;KSSF;475399.56;1978315.05;-5213;5581.82
T-9;KSANVA;475347.78;1978274.63;-5308;5697.43
T-9;KM;475287.83;1978227.67;-5412;5826
T-42;FILISOLA;476000.8;1979096.46;0;0
T-42;MIOCENO;476000.8;1979096.46;-2681;2735.63
T-42;OLIGOCENO;475920.2;1979025.91;-2900;2980
T-42;EOCENO;475778.97;1978926.7;-3322;3437
T-42;PALEOCENO;475235.24;1978712.73;-4874;5096.94
T-42;KS;475195.84;1978689.44;-5025;5254
T-42;KSSF;475176.24;1978667.17;-5258;5490
T-42;KSANVA;475182.97;1978656.94;-5360;5592.83
T-42;KM;475191.01;1978644.97;-5466;5700
T-42;KI;475196.86;1978627.71;-5583;5818
T-42;PT;475200.19;1978617;-5654;5890
